,OBJECTID_1,POINT_X,POINT_Y
361,723.0,-122.3706924,47.64430741
362,725.0,-122.4041359,47.56180995
363,727.0,-122.3498693,47.46317702
364,729.0,-122.3382429,47.60681579
365,731.0,-122.3383983,47.60675119
366,733.0,-122.2706121,47.75937099
367,735.0,-122.325765,47.69916209
368,737.0,-122.2423797,47.50290717
369,739.0,-122.3191924,47.71095665
370,741.0,-122.275818,47.76501055
371,743.0,-122.3782556,47.77291269
372,745.0,-122.3266877,47.72900499
373,747.0,-122.2715364,47.5382879
374,749.0,-122.3021192,47.69390447
375,751.0,-122.3023922,47.69390872
376,753.0,-122.2912684,47.7363114
377,755.0,-122.3754098,47.64068026
378,757.0,-122.2941485,47.55136279
379,759.0,-122.275486,47.68231157
380,761.0,-122.292444,47.56742907
381,763.0,-122.275179,47.46322939
382,765.0,-122.3057274,47.7661491
383,767.0,-122.2829691,47.6808131
384,769.0,-122.4015536,47.56317013
385,771.0,-122.293298,47.5966716
386,773.0,-122.3120728,47.65074426
387,775.0,-122.2699252,47.53980394
388,777.0,-122.2922227,47.59347654
389,779.0,-122.2751952,47.51022007
390,781.0,-122.3271935,47.62313253
391,783.0,-122.2917,47.66185236
392,785.0,-122.2999763,47.63336938
393,787.0,-122.2575995,47.49634526
394,789.0,-122.4166222,47.57684244
395,791.0,-122.2580006,47.518971
396,793.0,-122.353909,47.61452317
397,795.0,-122.3560833,47.63231671
398,797.0,-122.3269763,47.63638436
399,799.0,-122.3217468,47.6795126
400,801.0,-122.3192037,47.71153176
401,803.0,-122.3078639,47.63741364
402,805.0,-122.347237,47.67420122
403,807.0,-122.386599,47.69115841
404,809.0,-122.3910255,47.66058372
405,811.0,-122.3558218,47.77300731
406,813.0,-122.3565836,47.77158932
407,815.0,-122.3858608,47.76865805
408,817.0,-122.3263077,47.7380876
409,819.0,-122.2963986,47.58632082
410,821.0,-122.3746271,47.50460186
411,823.0,-122.3085445,47.6305925
412,825.0,-122.368686,47.52285502
413,827.0,-122.4057511,47.64681303
414,829.0,-122.3626695,47.45189155
415,831.0,-122.3114265,47.58368779
416,833.0,-122.2917238,47.48637014
417,835.0,-122.4055156,47.57329119
418,837.0,-122.4035661,47.57945362
419,839.0,-122.3445042,47.47368509
420,841.0,-122.3435857,47.74574054
421,843.0,-122.3076606,47.59999896
422,845.0,-122.2722023,47.51248028
423,847.0,-122.3577001,47.75182058
424,849.0,-122.3598653,47.74460455
425,851.0,-122.3598387,47.74250219
426,853.0,-122.3230649,47.77215512
427,855.0,-122.3116189,47.5877585
428,857.0,-122.411953,47.66945704
429,859.0,-122.3024861,47.76487034
430,861.0,-122.2996774,47.55292768
431,863.0,-122.3588712,47.54654163
432,865.0,-122.3352468,47.48790572
433,867.0,-122.3880444,47.53583232
434,869.0,-122.2965227,47.74932449
435,871.0,-122.2948267,47.7493374
436,873.0,-122.2766653,47.53568112
437,875.0,-122.3785054,47.69972206
438,877.0,-122.3889101,47.53227815
439,879.0,-122.3320105,47.57151985
440,881.0,-122.3319904,47.57157748
441,883.0,-122.3182314,47.73804132
442,885.0,-122.3696572,47.75012901
443,887.0,-122.384486,47.69185103
444,889.0,-122.3862512,47.69184459
445,891.0,-122.2968788,47.55359129
446,893.0,-122.3198685,47.60923815
447,895.0,-122.3425552,47.47303491
448,897.0,-122.2804086,47.71761785
449,899.0,-122.2655758,47.67138121
450,901.0,-122.3290622,47.47407095
451,903.0,-122.3055404,47.6391314
452,905.0,-122.3852362,47.58535698
453,907.0,-122.3394357,47.77544088
454,909.0,-122.4057985,47.56938691
455,911.0,-122.2817986,47.56975356
456,913.0,-122.2901537,47.7435043
457,915.0,-122.3516435,47.65540717
458,917.0,-122.3441422,47.50522039
459,919.0,-122.3501239,47.65540606
460,921.0,-122.3505396,47.65540763
461,923.0,-122.293168,47.71421104
462,925.0,-122.2942748,47.55885252
463,927.0,-122.3879864,47.53437577
464,929.0,-122.2707965,47.47972108
465,931.0,-122.3353485,47.54090508
466,933.0,-122.3828989,47.52658379
467,935.0,-122.3724268,47.63353767
468,937.0,-122.3519443,47.65667129
469,939.0,-122.4108821,47.67047993
470,941.0,-122.2694113,47.67353153
471,943.0,-122.3959816,47.65769045
472,945.0,-122.2979869,47.5597251
473,947.0,-122.2813929,47.51651233
474,949.0,-122.2538004,47.51391739
475,951.0,-122.3527588,47.62877192
476,953.0,-122.2921131,47.59462744
477,955.0,-122.3090735,47.64556813
478,957.0,-122.3090462,47.6464071
479,959.0,-122.2646262,47.55247459
480,961.0,-122.3878895,47.50452433
481,963.0,-122.3605356,47.45232597
482,965.0,-122.3202339,47.73758492
483,967.0,-122.3309036,47.55865039
484,969.0,-122.2302918,47.49403659
485,971.0,-122.2794919,47.56172759
486,973.0,-122.2900461,47.48998222
