,Unnamed: 0,gsv_panorama_id,width,height,lat,lng,camera_heading,camera_pitch,intersection_id
26893,26893,gp1dLUPguwn3I-iW9b1zPg,16384.0,8192.0,47.5473861694336,-122.3085708618164,311.3150329589844,3.533477783203125,28489
12170,12170,VU7sf5gRbp9upHjgswN8Jg,16384.0,8192.0,47.547393798828125,-122.3201904296875,62.00037384033203,-0.599761962890625,56855
25002,25002,QJJCyMjip5yt-D7A7wC58g,16384.0,8192.0,47.547401428222656,-122.25909423828124,189.2415771484375,1.7984542846679688,21517
266,266,2AwCxIWiUPZAQclG1xFU-Q,16384.0,8192.0,47.54740524291992,-122.33365631103516,343.935791015625,-0.6853179931640625,31963
17751,17751,ovAYMSDngxuFbfxy_F0uMg,16384.0,8192.0,47.54742431640625,-122.28087615966795,180.0128631591797,0.9169692993164062,20239
21426,21426,VuCduUF0W6Y854AOKZAffw,16384.0,8192.0,47.54742431640625,-122.28085327148438,358.8122253417969,-1.1711349487304688,20239
7177,7177,EkW2yc_icdxsYsHjtIcw5w,16384.0,8192.0,47.54742431640625,-122.2782745361328,89.40235137939453,2.621079921722412,55463
140,140,f9dKY9xjYGTdfjQFi700Jg,16384.0,8192.0,47.54742813110352,-122.3213882446289,47.14130401611328,-0.8488693237304688,59223
225,225,I_nsRlSKt_Vx-Q-f3jSFTQ,3328.0,1664.0,47.54743576049805,-122.27814483642578,268.7292785644531,-4.893420219421387,55463
10705,10705,mrZm6tvaMygnrJiDsqttrg,16384.0,8192.0,47.547454833984375,-122.3215789794922,302.6744079589844,0.922540009021759,59223
4688,4688,NrEg3K68aQwx383VmLiOTQ,16384.0,8192.0,47.547462463378906,-122.3212661743164,79.3502197265625,-1.6020278930664062,59223
21405,21405,3JsXIK4rHsy1llbm4aSoeA,16384.0,8192.0,47.547489166259766,-122.31403350830078,323.2357177734375,0.4889755249023437,3389
7440,7440,PjGEECQOYV1nRXV5J-1BYA,16384.0,8192.0,47.547489166259766,-122.30870819091795,47.340457916259766,-0.7176300287246704,28492
2431,2431,oEhhLfKY5Rk0K1dNb3j_ag,16384.0,8192.0,47.54750442504883,-122.321533203125,57.4283561706543,-0.6504974365234375,59223
27554,27554,8DdHWYj654cGLCVxHzweHA,16384.0,8192.0,47.54751205444336,-122.30891418457033,125.1573715209961,-3.276020050048828,28492
25698,25698,aNVKMd5E3S4MSqIvpDY5Aw,16384.0,8192.0,47.54751586914063,-122.28086853027344,180.34713745117188,0.6395797729492188,20239
26386,26386,HBI1CuJ1HURmd4iQf9HiAg,16384.0,8192.0,47.54752731323242,-122.32147979736328,50.00321578979492,-0.47576904296875,59223
18783,18783,Hu3rqL7lg3_XuAzqLrcTEA,16384.0,8192.0,47.5475959777832,-122.3088150024414,201.9419708251953,-1.3434677124023438,28492
